### Preswitch items: ###;;;;;;;;
id;phase;type;cue_fn;stim_fn;resp_left;resp_right;paint_square;soundfile
1;preswitch;NOT_YET_APPLIED;c_1.png;s_1.png;RESP_COLOR;RESP_SHAPE;false;
2;preswitch;NOT_YET_APPLIED;c_1.png;s_2.png;RESP_SHAPE;RESP_COLOR;false;
3;preswitch;NOT_YET_APPLIED;c_1.png;s_3.png;RESP_SHAPE;RESP_COLOR;false;
4;preswitch;NOT_YET_APPLIED;c_1.png;s_4.png;RESP_COLOR;RESP_SHAPE;false;
5;preswitch;NOT_YET_APPLIED;c_1.png;s_1.png;RESP_COLOR;RESP_SHAPE;false;
6;preswitch;NOT_YET_APPLIED;c_1.png;s_2.png;RESP_SHAPE;RESP_COLOR;false;
7;preswitch;NOT_YET_APPLIED;c_1.png;s_3.png;RESP_SHAPE;RESP_COLOR;false;
8;preswitch;NOT_YET_APPLIED;c_1.png;s_4.png;RESP_COLOR;RESP_SHAPE;false;
9;preswitch;NOT_YET_APPLIED;c_1.png;s_1.png;RESP_COLOR;RESP_SHAPE;false;
10;preswitch;NOT_YET_APPLIED;c_1.png;s_2.png;RESP_SHAPE;RESP_COLOR;false;
11;preswitch;NOT_YET_APPLIED;c_1.png;s_3.png;RESP_SHAPE;RESP_COLOR;false;
12;preswitch;NOT_YET_APPLIED;c_1.png;s_4.png;RESP_COLOR;RESP_SHAPE;false;
13;preswitch;NOT_YET_APPLIED;c_1.png;s_1.png;RESP_COLOR;RESP_SHAPE;false;
14;preswitch;NOT_YET_APPLIED;c_1.png;s_2.png;RESP_SHAPE;RESP_COLOR;false;
15;preswitch;NOT_YET_APPLIED;c_1.png;s_3.png;RESP_SHAPE;RESP_COLOR;false;
16;preswitch;NOT_YET_APPLIED;c_1.png;s_4.png;RESP_COLOR;RESP_SHAPE;false;
17;preswitch;NOT_YET_APPLIED;c_1.png;s_1.png;RESP_COLOR;RESP_SHAPE;false;
18;preswitch;NOT_YET_APPLIED;c_1.png;s_2.png;RESP_SHAPE;RESP_COLOR;false;
19;preswitch;NOT_YET_APPLIED;c_1.png;s_3.png;RESP_SHAPE;RESP_COLOR;false;
20;preswitch;NOT_YET_APPLIED;c_1.png;s_4.png;RESP_COLOR;RESP_SHAPE;false;
